pic,area,X1,Y1,X2,Y3
b1-1.jpg,yuduan,202,248,1086,487
b1-1.jpg,question,367,585,906,640
b1-1.jpg,yes,524,684,598,738
b1-1.jpg,no,700,684,781,739
b2-1.jpg,yuduan,202,248,1086,447
b2-1.jpg,question,367,585,906,640
b2-1.jpg,yes,524,684,598,738
b2-1.jpg,no,700,684,781,739
b3-1.jpg,yuduan,202,248,1086,487
b3-1.jpg,question,367,585,906,640
b3-1.jpg,yes,524,684,598,738
b3-1.jpg,no,700,684,781,739
b4-1.jpg,yuduan,202,248,1086,447
b4-1.jpg,question,367,585,906,640
b4-1.jpg,yes,524,684,598,738
b4-1.jpg,no,700,684,781,739
b5-1.jpg,yuduan,202,248,1086,447
b5-1.jpg,question,367,585,906,640
b5-1.jpg,yes,524,684,598,738
b5-1.jpg,no,700,684,781,739
b6-1.jpg,yuduan,202,248,1086,447
b6-1.jpg,question,367,585,906,640
b6-1.jpg,yes,524,684,598,738
b6-1.jpg,no,700,684,781,739
b7-1.jpg,yuduan,202,248,1086,487
b7-1.jpg,question,367,585,906,640
b7-1.jpg,yes,524,684,598,738
b7-1.jpg,no,700,684,781,739
b8-1.jpg,yuduan,202,248,1086,487
b8-1.jpg,question,367,585,906,640
b8-1.jpg,yes,524,684,598,738
b8-1.jpg,no,700,684,781,739
b9-1.jpg,yuduan,202,248,1086,400
b9-1.jpg,question,367,585,906,640
b9-1.jpg,yes,524,684,598,738
b9-1.jpg,no,700,684,781,739
b10-1.jpg,yuduan,202,248,1086,447
b10-1.jpg,question,367,585,906,640
b10-1.jpg,yes,524,684,598,738
b10-1.jpg,no,700,684,781,739
b11-1.jpg,yuduan,202,248,1086,487
b11-1.jpg,question,367,585,906,640
b11-1.jpg,yes,524,684,598,738
b11-1.jpg,no,700,684,781,739
b12-1.jpg,yuduan,202,248,1086,447
b12-1.jpg,question,367,585,906,640
b12-1.jpg,yes,524,684,598,738
b12-1.jpg,no,700,684,781,739
b13-1.jpg,yuduan,202,248,1086,536
b13-1.jpg,question,367,585,906,640
b13-1.jpg,yes,524,684,598,738
b13-1.jpg,no,700,684,781,739
b14-1.jpg,yuduan,202,248,1086,568
b14-1.jpg,question,367,585,906,640
b14-1.jpg,yes,524,684,598,738
b14-1.jpg,no,700,684,781,739
b15-1.jpg,yuduan,202,248,1086,447
b15-1.jpg,question,367,585,906,640
b15-1.jpg,yes,524,684,598,738
b15-1.jpg,no,700,684,781,739
b16-1.jpg,yuduan,202,248,1086,447
b16-1.jpg,question,367,585,906,640
b16-1.jpg,yes,524,684,598,738
b16-1.jpg,no,700,684,781,739
b17-1.jpg,yuduan,202,248,1086,447
b17-1.jpg,question,367,585,906,640
b17-1.jpg,yes,524,684,598,738
b17-1.jpg,no,700,684,781,739
b18-1.jpg,yuduan,202,248,1086,536
b18-1.jpg,question,367,585,906,640
b18-1.jpg,yes,524,684,598,738
b18-1.jpg,no,700,684,781,739
b19-1.jpg,yuduan,202,248,1086,400
b19-1.jpg,question,367,585,906,640
b19-1.jpg,yes,524,684,598,738
b19-1.jpg,no,700,684,781,739
b20-1.jpg,yuduan,202,248,1086,536
b20-1.jpg,question,367,585,906,640
b20-1.jpg,yes,524,684,598,738
b20-1.jpg,no,700,684,781,739
b21-1.jpg,yuduan,202,248,1086,536
b21-1.jpg,question,367,585,906,640
b21-1.jpg,yes,524,684,598,738
b21-1.jpg,no,700,684,781,739
b22-1.jpg,yuduan,202,248,1086,447
b22-1.jpg,question,367,585,906,640
b22-1.jpg,yes,524,684,598,738
b22-1.jpg,no,700,684,781,739
b23-1.jpg,yuduan,202,248,1086,447
b23-1.jpg,question,367,585,906,640
b23-1.jpg,yes,524,684,598,738
b23-1.jpg,no,700,684,781,739
b24-1.jpg,yuduan,202,248,1086,400
b24-1.jpg,question,367,585,906,640
b24-1.jpg,yes,524,684,598,738
b24-1.jpg,no,700,684,781,739
b25-1.jpg,yuduan,202,248,1086,400
b25-1.jpg,question,367,585,906,640
b25-1.jpg,yes,524,684,598,738
b25-1.jpg,no,700,684,781,739
b26-1.jpg,yuduan,202,248,1086,536
b26-1.jpg,question,367,585,906,640
b26-1.jpg,yes,524,684,598,738
b26-1.jpg,no,700,684,781,739
b27-1.jpg,yuduan,202,248,1086,447
b27-1.jpg,question,367,585,906,640
b27-1.jpg,yes,524,684,598,738
b27-1.jpg,no,700,684,781,739
b28-1.jpg,yuduan,202,248,1086,447
b28-1.jpg,question,367,585,906,640
b28-1.jpg,yes,524,684,598,738
b28-1.jpg,no,700,684,781,739
b29-1.jpg,yuduan,202,248,1086,447
b29-1.jpg,question,367,585,906,640
b29-1.jpg,yes,524,684,598,738
b29-1.jpg,no,700,684,781,739
b30-1.jpg,yuduan,202,248,1086,447
b30-1.jpg,question,367,585,906,640
b30-1.jpg,yes,524,684,598,738
b30-1.jpg,no,700,684,781,739
b31-1.jpg,yuduan,202,248,1086,447
b31-1.jpg,question,367,585,906,640
b31-1.jpg,yes,524,684,598,738
b31-1.jpg,no,700,684,781,739
b32-1.jpg,yuduan,202,248,1086,487
b32-1.jpg,question,367,585,906,640
b32-1.jpg,yes,524,684,598,738
b32-1.jpg,no,700,684,781,739
b33-1.jpg,yuduan,202,248,1086,487
b33-1.jpg,question,367,585,906,640
b33-1.jpg,yes,524,684,598,738
b33-1.jpg,no,700,684,781,739
b34-1.jpg,yuduan,202,248,1086,487
b34-1.jpg,question,367,585,906,640
b34-1.jpg,yes,524,684,598,738
b34-1.jpg,no,700,684,781,739
b35-1.jpg,yuduan,202,248,1086,447
b35-1.jpg,question,367,585,906,640
b35-1.jpg,yes,524,684,598,738
b35-1.jpg,no,700,684,781,739
b36-1.jpg,yuduan,202,248,1086,487
b36-1.jpg,question,367,585,906,640
b36-1.jpg,yes,524,684,598,738
b36-1.jpg,no,700,684,781,739
b37-1.jpg,yuduan,202,248,1086,447
b37-1.jpg,question,367,585,906,640
b37-1.jpg,yes,524,684,598,738
b37-1.jpg,no,700,684,781,739
b38-1.jpg,yuduan,202,248,1086,447
b38-1.jpg,question,367,585,906,640
b38-1.jpg,yes,524,684,598,738
b38-1.jpg,no,700,684,781,739
b39-1.jpg,yuduan,202,248,1086,487
b39-1.jpg,question,367,585,906,640
b39-1.jpg,yes,524,684,598,738
b39-1.jpg,no,700,684,781,739
b40-1.jpg,yuduan,202,248,1086,487
b40-1.jpg,question,367,585,906,640
b40-1.jpg,yes,524,684,598,738
b40-1.jpg,no,700,684,781,739
b41-1.jpg,yuduan,202,248,1086,487
b41-1.jpg,question,367,585,906,640
b41-1.jpg,yes,524,684,598,738
b41-1.jpg,no,700,684,781,739
b42-1.jpg,yuduan,202,248,1086,487
b42-1.jpg,question,367,585,906,640
b42-1.jpg,yes,524,684,598,738
b42-1.jpg,no,700,684,781,739
b43-1.jpg,yuduan,202,248,1086,487
b43-1.jpg,question,367,585,906,640
b43-1.jpg,yes,524,684,598,738
b43-1.jpg,no,700,684,781,739
b44-1.jpg,yuduan,202,248,1086,536
b44-1.jpg,question,367,585,906,640
b44-1.jpg,yes,524,684,598,738
b44-1.jpg,no,700,684,781,739
b45-1.jpg,yuduan,202,248,1086,447
b45-1.jpg,question,367,585,906,640
b45-1.jpg,yes,524,684,598,738
b45-1.jpg,no,700,684,781,739
t11-1.jpg,yuduan,202,248,1086,487
t11-1.jpg,question,350,586,912,647
t11-1.jpg,yes,504,695,579,747
t11-1.jpg,no,704,695,791,747
t12-1.jpg,yuduan,202,248,1086,487
t12-1.jpg,question,207,590,1062,645
t12-1.jpg,choose1,400,692,471,790
t12-1.jpg,choose2,471,692,542,790
t12-1.jpg,choose3,542,692,613,790
t12-1.jpg,choose4,613,692,684,790
t12-1.jpg,choose5,684,692,755,790
t12-1.jpg,choose6,755,692,826,790
t12-1.jpg,choose7,826,692,897,790
t13-1.jpg,yuduan,202,248,1086,487
t13-1.jpg,question,362,583,904,653
t13-1.jpg,choose1,400,692,471,790
t13-1.jpg,choose2,471,692,542,790
t13-1.jpg,choose3,542,692,613,790
t13-1.jpg,choose4,613,692,684,790
t13-1.jpg,choose5,684,692,755,790
t13-1.jpg,choose6,755,692,826,790
t13-1.jpg,choose7,826,692,897,790
t14-1.jpg,yuduan,202,248,1086,487
t14-1.jpg,question,265,586,1004,655
t14-1.jpg,choose1,400,692,471,790
t14-1.jpg,choose2,471,692,542,790
t14-1.jpg,choose3,542,692,613,790
t14-1.jpg,choose4,613,692,684,790
t14-1.jpg,choose5,684,692,755,790
t14-1.jpg,choose6,755,692,826,790
t14-1.jpg,choose7,826,692,897,790
t21-1.jpg,yuduan,202,248,1086,447
t21-1.jpg,question,350,586,912,647
t21-1.jpg,yes,504,695,579,747
t21-1.jpg,no,704,695,791,747
t22-1.jpg,yuduan,202,248,1086,447
t22-1.jpg,question,207,590,1062,645
t22-1.jpg,choose1,400,692,471,790
t22-1.jpg,choose2,471,692,542,790
t22-1.jpg,choose3,542,692,613,790
t22-1.jpg,choose4,613,692,684,790
t22-1.jpg,choose5,684,692,755,790
t22-1.jpg,choose6,755,692,826,790
t22-1.jpg,choose7,826,692,897,790
t23-1.jpg,yuduan,202,248,1086,447
t23-1.jpg,question,362,583,904,653
t23-1.jpg,choose1,400,692,471,790
t23-1.jpg,choose2,471,692,542,790
t23-1.jpg,choose3,542,692,613,790
t23-1.jpg,choose4,613,692,684,790
t23-1.jpg,choose5,684,692,755,790
t23-1.jpg,choose6,755,692,826,790
t23-1.jpg,choose7,826,692,897,790
t24-1.jpg,yuduan,202,248,1086,447
t24-1.jpg,question,265,586,1004,655
t24-1.jpg,choose1,400,692,471,790
t24-1.jpg,choose2,471,692,542,790
t24-1.jpg,choose3,542,692,613,790
t24-1.jpg,choose4,613,692,684,790
t24-1.jpg,choose5,684,692,755,790
t24-1.jpg,choose6,755,692,826,790
t24-1.jpg,choose7,826,692,897,790
t31-1.jpg,yuduan,202,248,1086,487
t31-1.jpg,question,350,586,912,647
t31-1.jpg,yes,504,695,579,747
t31-1.jpg,no,704,695,791,747
t32-1.jpg,yuduan,202,248,1086,487
t32-1.jpg,question,207,590,1062,645
t32-1.jpg,choose1,400,692,471,790
t32-1.jpg,choose2,471,692,542,790
t32-1.jpg,choose3,542,692,613,790
t32-1.jpg,choose4,613,692,684,790
t32-1.jpg,choose5,684,692,755,790
t32-1.jpg,choose6,755,692,826,790
t32-1.jpg,choose7,826,692,897,790
t33-1.jpg,yuduan,202,248,1086,487
t33-1.jpg,question,362,583,904,653
t33-1.jpg,choose1,400,692,471,790
t33-1.jpg,choose2,471,692,542,790
t33-1.jpg,choose3,542,692,613,790
t33-1.jpg,choose4,613,692,684,790
t33-1.jpg,choose5,684,692,755,790
t33-1.jpg,choose6,755,692,826,790
t33-1.jpg,choose7,826,692,897,790
t34-1.jpg,yuduan,202,248,1086,487
t34-1.jpg,question,265,586,1004,655
t34-1.jpg,choose1,400,692,471,790
t34-1.jpg,choose2,471,692,542,790
t34-1.jpg,choose3,542,692,613,790
t34-1.jpg,choose4,613,692,684,790
t34-1.jpg,choose5,684,692,755,790
t34-1.jpg,choose6,755,692,826,790
t34-1.jpg,choose7,826,692,897,790
t41-1.jpg,yuduan,202,248,1086,447
t41-1.jpg,question,350,586,912,647
t41-1.jpg,yes,504,695,579,747
t41-1.jpg,no,704,695,791,747
t42-1.jpg,yuduan,202,248,1086,447
t42-1.jpg,question,207,590,1062,645
